"IDFolio";"IDPersona";"AgnoNacimiento";"IDSexo";"IDRelacionJefeHogar";"IDEstudios";"IDLugarEstudios";"IDTituloProfesional";"IDActividad";"IDJornadaTrabajo";"Ingreso";"IDTipoIngreso";"Observaciones";"EfectuaViajes";"NumeroViajes";"Factor"
38630508;2;1970;1;2;4;-1;0;4;1;290000;1;0;1;2;23,52
38630508;3;1976;1;2;4;-1;0;4;1;300000;1;1;0;0;40,62
38630508;4;1989;1;3;4;-1;0;4;1;250000;1;0;1;2;17,93
38630509;1;1979;2;0;3;-1;0;7;3;200000;1;1;1;6;36,47
38630509;2;1993;1;2;4;4;0;14;0;0;2;0;1;2;17,93
38630509;3;2003;1;2;3;4;0;14;0;0;2;1;0;0;36,32
38630509;4;2009;2;2;2;2;0;14;0;0;2;1;0;0;37,81
38630511;1;1968;1;0;4;-1;0;4;1;330000;1;0;1;2;19,94
38630511;2;1971;2;1;4;-1;0;11;0;0;2;0;1;4;30,92
38630511;3;2005;2;2;2;4;0;14;0;0;2;1;0;0;24,67
38630512;1;1972;1;0;4;-1;0;4;1;340000;1;0;1;2;34,44
38630512;2;1977;2;1;4;-1;0;4;1;220000;1;0;1;4;30,92
38630512;3;1993;1;2;4;4;0;14;0;0;2;0;1;2;15,20
38630514;1;1971;2;0;4;-1;0;4;2;250000;1;0;1;4;30,92
38630514;2;2007;2;2;1;2;0;14;0;0;2;1;1;2;32,06
38630514;3;2000;1;2;3;4;0;14;0;0;2;0;1;2;30,80
38630515;1;1967;2;0;4;-1;0;4;1;380000;1;0;1;1;21,97
38630515;2;1970;1;1;4;-1;0;3;1;400000;1;0;1;2;23,52
38630515;3;1987;1;2;6;6;0;14;0;0;2;0;1;2;17,93
38630515;4;1985;1;2;6;6;0;14;0;0;2;0;1;2;40,62
38630517;1;1978;1;0;4;-1;0;4;1;450000;1;1;0;0;40,62
38630517;2;1981;2;1;4;-1;0;11;0;0;2;0;1;6;36,47
38630517;3;2000;2;2;3;4;0;14;0;0;2;1;0;0;29,10
38630517;4;2005;2;2;2;4;0;14;0;0;2;1;0;0;29,10
38630518;1;1965;2;0;5;-1;1;4;1;190000;1;0;1;2;17,66
38630518;2;1989;2;2;5;-1;0;12;0;0;2;1;1;2;17,23
38630518;3;1994;2;2;4;4;0;14;0;0;2;0;1;2;16,67
38630518;4;1996;2;2;3;4;0;14;0;0;2;0;1;2;16,67
38630518;5;1980;1;3;4;-1;0;4;1;250000;1;0;1;3;32,65
38630519;1;1970;2;0;5;-1;1;11;0;180000;1;1;1;2;33,17
38630519;2;1993;1;2;4;4;0;14;0;0;2;1;1;2;27,07
38630520;1;1971;2;0;4;-1;0;7;3;150000;1;1;1;7;36,47
38630520;2;1967;1;1;4;-1;0;4;1;250000;1;0;1;2;23,52
38630520;3;1994;2;2;4;5;0;14;0;0;2;0;1;4;20,73
38630520;4;2003;1;2;3;4;0;14;0;0;2;1;0;0;36,32
38630521;1;1961;1;0;4;-1;0;4;1;310000;1;0;1;2;19,94
38630521;2;1962;2;1;4;-1;0;4;1;190000;1;0;1;2;18,63
38630521;3;1992;1;2;4;-1;0;4;1;340000;1;1;0;0;15,20
38630522;1;1969;1;0;4;-1;0;4;1;360000;1;1;1;2;18,90
38630522;2;1968;2;1;3;-1;0;11;0;0;2;0;1;2;17,66
38630522;3;1996;1;2;4;4;0;14;0;0;2;0;1;2;25,68
38630522;4;1998;1;2;3;4;0;14;0;0;2;0;1;2;29,20
38630522;5;1948;2;3;4;-1;0;11;0;0;2;0;1;4;14,73
38630523;1;1969;1;0;5;-1;1;4;1;380000;1;0;1;2;18,90
38630523;2;1964;2;1;4;-1;0;4;1;200000;1;0;1;5;17,66
38630523;3;1992;2;2;6;6;0;14;0;0;2;0;1;2;17,23
